Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,42000.000000,42600.000000,41940.000000,42390.000000,39810.218750,1193100
2019-09-19,42690.000000,42960.000000,42300.000000,42460.000000,39875.960938,1162900
2019-09-20,42880.000000,42940.000000,42420.000000,42830.000000,40223.445313,1504500
2019-09-24,42580.000000,42710.000000,42060.000000,42350.000000,39772.656250,1331400
2019-09-25,41460.000000,41500.000000,40410.000000,40520.000000,38054.027344,2753000
2019-09-26,40850.000000,41260.000000,40530.000000,40660.000000,38185.507813,1890800
2019-09-27,40780.000000,40960.000000,40200.000000,40380.000000,38176.050781,1421400
2019-09-30,39890.000000,40090.000000,39750.000000,40020.000000,37835.703125,997300
2019-10-01,40300.000000,41140.000000,40080.000000,40920.000000,38686.578125,1556800
2019-10-02,40420.000000,41180.000000,40420.000000,41180.000000,38932.390625,967800
2019-10-03,40690.000000,40730.000000,40330.000000,40490.000000,38280.050781,1162000
2019-10-04,40800.000000,41100.000000,40620.000000,40970.000000,38733.851563,1117500
2019-10-07,40910.000000,40910.000000,40410.000000,40410.000000,38204.414063,886800
2019-10-08,40500.000000,40800.000000,40190.000000,40770.000000,38544.765625,1016000
2019-10-09,40400.000000,40990.000000,40400.000000,40890.000000,38658.218750,994700
2019-10-10,40800.000000,40980.000000,40150.000000,40300.000000,38100.417969,1200200
2019-10-11,40380.000000,40390.000000,39310.000000,39870.000000,37693.890625,1556000
2019-10-15,40000.000000,40220.000000,39710.000000,40150.000000,37958.609375,891700
2019-10-16,40240.000000,40630.000000,40050.000000,40160.000000,37968.062500,1005500
2019-10-17,39580.000000,39620.000000,39060.000000,39060.000000,36928.097656,1668600
2019-10-18,38750.000000,39260.000000,38440.000000,38610.000000,36502.660156,1416200
2019-10-21,38540.000000,38700.000000,38190.000000,38550.000000,36445.933594,808000
2019-10-23,38400.000000,38490.000000,38040.000000,38110.000000,36029.953125,989700
2019-10-24,38280.000000,38350.000000,37870.000000,37870.000000,35803.050781,943700
2019-10-25,37200.000000,37420.000000,36700.000000,36730.000000,34725.269531,1890500
2019-10-28,36950.000000,37310.000000,36810.000000,37020.000000,34999.441406,1110100
2019-10-29,37360.000000,38220.000000,37350.000000,37790.000000,35727.414063,1607000
2019-10-30,37700.000000,38490.000000,37290.000000,38490.000000,36389.210938,2268100
2019-10-31,38920.000000,39040.000000,38130.000000,38620.000000,36512.113281,1326800
2019-11-01,40170.000000,41500.000000,40170.000000,41500.000000,39234.921875,4238300
2019-11-05,42750.000000,43070.000000,42300.000000,42730.000000,40397.789063,2735900
2019-11-06,42930.000000,43030.000000,41710.000000,42210.000000,39906.167969,1861400
2019-11-07,41710.000000,42370.000000,41460.000000,42000.000000,39707.632813,1243000
2019-11-08,42320.000000,42390.000000,41800.000000,41960.000000,39669.816406,1021200
2019-11-11,42200.000000,42530.000000,41820.000000,41960.000000,39669.816406,1046200
2019-11-12,42100.000000,42470.000000,42040.000000,42390.000000,40076.343750,1015200
2019-11-13,42330.000000,42500.000000,41850.000000,42040.000000,39745.449219,1057300
2019-11-14,42280.000000,42320.000000,41760.000000,41790.000000,39509.093750,938300
2019-11-15,41600.000000,41690.000000,41250.000000,41280.000000,39026.929688,983700
2019-11-18,41440.000000,42250.000000,41350.000000,42070.000000,39773.812500,1272700
2019-11-19,42200.000000,42410.000000,42030.000000,42330.000000,40019.621094,958300
2019-11-20,42440.000000,43300.000000,42390.000000,42970.000000,40624.691406,2103200
2019-11-21,43240.000000,43300.000000,42120.000000,43000.000000,40653.050781,1775100
2019-11-22,42330.000000,42530.000000,41470.000000,41490.000000,39225.468750,2107500
2019-11-25,41900.000000,42310.000000,41680.000000,42290.000000,39981.804688,1378300
2019-11-26,42500.000000,42980.000000,42430.000000,42580.000000,40255.976563,1264200
2019-11-27,42460.000000,42660.000000,42100.000000,42530.000000,40208.703125,872500
2019-11-28,42750.000000,42870.000000,42480.000000,42580.000000,40255.976563,663500
2019-11-29,42700.000000,42800.000000,42330.000000,42350.000000,40038.531250,538400
2019-12-02,42620.000000,43390.000000,42560.000000,43240.000000,40879.953125,1613300
2019-12-03,43550.000000,44500.000000,43510.000000,44390.000000,41967.183594,2285100
2019-12-04,44620.000000,44880.000000,43350.000000,43830.000000,41437.750000,2519200
2019-12-05,44500.000000,44520.000000,43460.000000,43680.000000,41295.941406,1502400
2019-12-06,43510.000000,43800.000000,43230.000000,43760.000000,41371.570313,1190600
2019-12-09,44300.000000,45080.000000,44240.000000,45080.000000,42619.527344,2121800
2019-12-10,45100.000000,47000.000000,45070.000000,46370.000000,43839.113281,3282100
